Decision,Applicant_GPA,Decision_Year,Target_University_FSR_Score,Target_University_CPF_Score,Target_University_ISR_Score,Target_University_QS_Rank,Target_Degree_Type,Applicant_Status,Target_University_Status,Target_Program,Target_Program_Discipline,Target_University,Target_Country,Program_Admission_Rate,Program_x_QS_Rank
1,-3.302371326731347,1.3164137874418664,-0.1287296435720385,1.3638502612729573,-1.1078560450280854,-0.671908745624633,1,1.0,1.0,0.0272307692307692,0.0701538461538461,0.0051538461538461,0.001076923076923,0.6299435028248588,-0.018296591996239987
1,-1.8533836224004452,1.3164137874418664,-1.148255447296423,0.5950683353999973,1.1917743745021523,-0.6233500772466825,1,1.0,1.0,0.0103846153846153,0.0103846153846153,0.0033846153846153,0.001076923076923,0.5703703703703704,-0.006473250802177034
1,0.4298697298785512,1.3164137874418664,-1.381536775267257,-0.0523269705982844,-0.1592584969718622,0.0504014464973799,1,2.0,1.0,0.0833076923076923,0.087076923076923,0.01,0.8453076923076923,0.541089566020314,0.00419882819666634
1,-0.2287610448173127,1.3164137874418664,1.2248780619377375,0.9445146653422516,1.1151200271844774,-0.8024101668903748,1,2.0,1.0,0.0822307692307692,0.139076923076923,0.0053076923076923,0.0358461538461538,0.6707202993451824,-0.06598280526198541
0,0.8250481946960693,1.3164137874418664,1.147117619280793,0.5582845111955494,1.105538233769768,-0.7811657494750215,1,2.0,2.0,0.0063076923076923,0.0063076923076923,0.0221538461538461,0.8453076923076923,0.5975609756097561,-0.004927353188996283
1,0.3420522932524359,1.3164137874418664,0.3752732255007505,1.091649962160043,1.3003680332021914,-0.7538514985124243,1,1.0,1.0,0.0061538461538461,0.040076923076923,0.0063846153846153,0.0053846153846153,0.7,-0.004639086144691801
0,-0.8873918195131786,1.3164137874418664,1.147117619280793,0.5582845111955494,1.105538233769768,-0.7811657494750215,1,1.0,2.0,0.0194615384615384,0.0194615384615384,0.0221538461538461,0.8453076923076923,0.6047430830039525,-0.015202687278244602
1,-2.8632841436007705,1.3164137874418664,-0.338970840385259,0.2161949460941846,1.268428721819827,-0.732607081097071,1,1.0,1.0,0.0822307692307692,0.139076923076923,0.0143076923076923,0.0544615384615384,0.6707202993451824,-0.06024284382252066
0,0.210326138313262,1.3164137874418664,0.8130357174954016,-1.130093019788606,-0.5648877515278904,-0.168112561203397,1,1.0,1.0,0.004,0.0701538461538461,0.0051538461538461,0.0053846153846153,0.5576923076923077,-0.0006724502448135879
1,0.210326138313262,1.3164137874418664,-1.4823373490818146,-0.4054516829609838,-1.0120381108809922,-0.4018011527722835,1,1.0,1.0,0.004,0.009076923076923,0.0049230769230769,0.0047692307692307,0.5576923076923077,-0.001607204611089134
0,0.8689569130091279,1.3164137874418664,-1.3872968080566603,1.3270664370685097,-0.9800987994986278,-0.2773695650537855,2,1.0,1.0,0.0413846153846153,0.0615384615384615,0.0066923076923076,0.8453076923076923,0.5,-0.011478832769148946
1,-0.7117569462609479,1.3164137874418664,-0.7277730536699819,-0.909390074561919,-1.2164497037281243,1.9881958064549647,1,2.0,1.0,0.0413846153846153,0.0615384615384615,0.0063846153846153,0.8453076923076923,0.5,0.08228071875944375
1,-0.2726697631303713,1.3164137874418664,-1.5255375950023395,-1.4758609673104155,-1.7115090301547726,3.1262895965631783,1,2.0,1.0,0.0116923076923076,0.0615384615384615,0.0072307692307692,0.8453076923076923,0.27631578947368424,0.03655353989827687
0,-0.2726697631303713,1.3164137874418664,-0.8400936930633464,0.1315921504239547,0.1186135120547079,-0.4746391553392092,2,2.0,1.0,0.0413846153846153,0.0615384615384615,0.004,0.8453076923076923,0.5,-0.019642758890191847
0,-0.2287610448173127,1.3164137874418664,-1.4016968900301685,0.9334795180809174,0.5881213893754647,-0.4594645714710997,1,1.0,1.0,0.0833076923076923,0.087076923076923,0.0027692307692307,0.0544615384615384,0.541089566020314,-0.03827693314640007
0,-1.5899313125220993,1.3164137874418664,-0.9696944308249208,-0.9277819866641428,-1.4719641947870397,1.3508632839943653,2,1.0,1.0,0.0334615384615384,0.0334615384615384,0.0037692307692307,0.8453076923076923,0.5471264367816092,0.04520196373365752
0,-1.106935411078466,1.3164137874418664,-0.7220130208805787,-0.3208488872907536,0.0707045449811613,-0.4473249043766121,2,1.0,1.0,0.0125384615384615,0.040076923076923,0.0115384615384615,0.8453076923076923,0.5644171779141104,-0.005608766108722119
0,-1.106935411078466,1.3164137874418664,-1.09065511940239,0.1205570031626204,0.7350422217343412,-0.3775218185833083,1,2.0,2.0,0.0833076923076923,0.087076923076923,0.0143846153846153,0.8453076923076923,0.541089566020314,-0.03145047150197868
